"FULFILLMENT SKU","IMAGE URL","NAME","SKU","UPC","WEIGHT UNITS","PRODUCT ID","QUANTITY","SHIPPING AMOUNT","TAX AMOUNT","UNIT PRICE","WEIGHT VALUE","MARKETPLACE","SHIPSTATION_ORDERNUMBER_AS_ID","ORDERNUMBER_SKU_AS_ID","ERROR"
"","http://ecx.images-amazon.com/images/I/41N7FbuzZwL.jpg","Nebulizer Diffuser for Essential Oil Aromatherapy by Two Scents: Waterless, Wireless, Heatless, Rechargeable, Nebulizing Technology. Compact & Portable for Home, Car, Work, Bath, Bedroom, Travel, Spa","B071HR46ZJ","","","","1","0","0","75.27","","Amazon","111-6251446-0974650","111-6251446-0974650-B071HR46ZJ","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/41N7FbuzZwL.jpg","Nebulizer Diffuser for Essential Oil Aromatherapy by Two Scents: Waterless, Wireless, Heatless, Rechargeable, Nebulizing Technology. Compact & Portable for Home, Car, Work, Bath, Bedroom, Travel, Spa","B071HR46ZJ","","","","1","0","0","75.27","","Amazon","112-3888819-2123424","112-3888819-2123424-B071HR46ZJ","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","","","","","","","0","0","","","Amazon","114-5046474-3800215","114-5046474-3800215-A-1022","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/41N7FbuzZwL.jpg","Nebulizer Diffuser for Essential Oil Aromatherapy by Two Scents: Waterless, Wireless, Heatless, Rechargeable, Nebulizing Technology. Compact & Portable for Home, Car, Work, Bath, Bedroom, Travel, Spa","B071HR46ZJ","","","","1","0","0","75.27","","Amazon","114-7083852-5595436","114-7083852-5595436-B071HR46ZJ","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p1-180x180.jpg","Essential Oils Nebulizer Diffuser for Aromatherapy by Two Scents","","","","","1","0","0","70.27","","WooCommerce","279","279-A-1024","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","Total Discount","total-discount","","","","1","0","0","-10.54","","WooCommerce","279","279-total-discount","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://vedwebservices.org/two-scents/wp-content/uploads/2018/01/p1-180x180.jpg","Essential Oils Nebulizer Diffuser for Aromatherapy by Two Scents","","","","","2","0","0","70.27","","WooCommerce","278","278-A-1026","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","Total Discount","total-discount","","","","1","0","0","-21.08","","WooCommerce","278","278-total-discount","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/41N7FbuzZwL.jpg","Nebulizer Diffuser for Essential Oil Aromatherapy by Two Scents: Waterless, Wireless, Heatless, Rechargeable, Nebulizing Technology. Compact & Portable for Home, Car, Work, Bath, Bedroom, Travel, Spa","B071HR46ZJ","","","","1","0","0","75.27","","Amazon","111-6871381-1673018","111-6871381-1673018-B071HR46ZJ","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/41N7FbuzZwL.jpg","Nebulizer Diffuser for Essential Oil Aromatherapy by Two Scents: Waterless, Wireless, Heatless, Rechargeable, Nebulizing Technology. Compact & Portable for Home, Car, Work, Bath, Bedroom, Travel, Spa","B071HR46ZJ","","","","1","6.89","0","75.27","","Amazon","112-1655482-2884201","112-1655482-2884201-B071HR46ZJ","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/41N7FbuzZwL.jpg","Nebulizer Diffuser for Essential Oil Aromatherapy by Two Scents: Waterless, Wireless, Heatless, Rechargeable, Nebulizing Technology. Compact & Portable for Home, Car, Work, Bath, Bedroom, Travel, Spa","B071HR46ZJ","","","","1","6.89","0","75.27","","Amazon","111-1061502-9405856","111-1061502-9405856-B071HR46ZJ","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/41N7FbuzZwL.jpg","Nebulizer Diffuser for Essential Oil Aromatherapy by Two Scents: Waterless, Wireless, Heatless, Rechargeable, Nebulizing Technology. Compact & Portable for Home, Car, Work, Bath, Bedroom, Travel, Spa","B071HR46ZJ","","","","1","6.79","0","75.27","","Amazon","111-3698010-2936244","111-3698010-2936244-B071HR46ZJ","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/41N7FbuzZwL.jpg","Nebulizer Diffuser for Essential Oil Aromatherapy by Two Scents: Waterless, Wireless, Heatless, Rechargeable, Nebulizing Technology. Compact & Portable for Home, Car, Work, Bath, Bedroom, Travel, Spa","B071HR46ZJ","","","","1","7.53","0","75.27","","Amazon","114-6621095-2095436","114-6621095-2095436-B071HR46ZJ","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/415p-UWJoeL.jpg","SLR Brands Plus Size Cotton Stretchy Flowy Loose Fit Tunic Long Casual Beach Regular Dress with Pockets (XL, Turqoise)","B076PRYSNHfbm","","","","1","0","0","15.15","","Amazon","113-5630044-7881025","113-5630044-7881025-B076PRYSNHfbm","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/51UXiMthuyL.jpg","SLR BRANDS Men's Slide Slip On Sandal Slipper Comfortable Shower Beach Shoe Flip Flop (12, Grey)","B06Y5TTZ6Pfbc","","","","1","2.66","0","8.99","","Amazon","111-4020688-7410619","111-4020688-7410619-B06Y5TTZ6Pfbc","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/41wliRjndcL.jpg","SLR Brands Women's Flip Flops Rubber Thong Flip Flop Sandal for Women (X-Large (US 11), Black)","FBM-SLR2601-BLK-XL","","","","1","2.66","1.11","7.99","","Amazon","114-0726172-6501823","114-0726172-6501823-FBM-SLR2601-BLK-XL","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/41LSJwIFcVL.jpg","SLR Brands Womens UV Sun Protection Long Sleeve Rashguard Swimwear Swimwear Rash Guard Athletic Tops (Large, Neon Pink)","SW-EJVK-OKRV","","","","1","0","0","14.99","","Amazon","114-0100526-6088259","114-0100526-6088259-SW-EJVK-OKRV","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","","","","","","","0","0","","","Amazon","113-2206479-9317034","113-2206479-9317034-A-1037","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","","","","","","","0","0","","","Amazon","112-1257706-3851430","112-1257706-3851430-A-1038","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","","","","","","","0","0","","","Amazon","111-5248830-1639425","111-5248830-1639425-A-1039","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","","","","","","","0","0","","","Amazon","114-2980602-2137000","114-2980602-2137000-A-1040","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","","","","","","","0","0","","","Amazon","111-6129908-0369864","111-6129908-0369864-A-1041","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","","","","","","","0","0","","","Amazon","112-1948744-1923410","112-1948744-1923410-A-1042","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","","","","","","","0","0","","","Amazon","111-6232355-8863436","111-6232355-8863436-A-1043","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/51WzN64pBHL.jpg","SLR BRANDS Rubber Comfortable Shower Beach Shoe Slip On Flip Flop Sandal (12, White)","FBM-SLR-MFW140-WHT-12","","","","1","2.66","0","7.99","","Amazon","114-5341885-5865832","114-5341885-5865832-FBM-SLR-MFW140-WHT-12","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/31kJ3dh2hdL.jpg","SLR Brands Plus Size Cotton Stretchy Flowy Loose Fit Tunic Long Casual Beach Regular Dress with Pockets (XL, Solid Purple)","B076PRWY1Pfbm","","","","1","2.66","0","15.15","","Amazon","113-9961452-0386600","113-9961452-0386600-B076PRWY1Pfbm","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/51UXiMthuyL.jpg","SLR BRANDS Men's Slide Slip On Sandal Slipper Comfortable Shower Beach Shoe Flip Flop (9, Grey)","B06Y5JFT4Bfbc","","","","1","2.66","0","8.5","","Amazon","113-0616931-3401838","113-0616931-3401838-B06Y5JFT4Bfbc","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","","","","","","","","0","0","","","Amazon","113-2495941-4464240","113-2495941-4464240-A-1047","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/51UXiMthuyL.jpg","SLR BRANDS Men's Slide Slip On Sandal Slipper Comfortable Shower Beach Shoe Flip Flop (12, Grey)","B06Y5TTZ6Pfbc","","","","1","2.66","0","8.99","","Amazon","114-3550385-0778658","114-3550385-0778658-B06Y5TTZ6Pfbc","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/41A0bvSu20L.jpg","SLR Brands Plus Size Cotton Stretchy Flowy Loose Fit Tunic Long Casual Beach Regular Dress with Pockets (XL, White Navy)","B076PV8GQ1","","","","1","2.66","0","15.15","","Amazon","114-9766032-0079459","114-9766032-0079459-B076PV8GQ1","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/415p-UWJoeL.jpg","SLR Brands Plus Size Cotton Stretchy Flowy Loose Fit Tunic Long Casual Beach Regular Dress with Pockets (XL, Turqoise)","B076PRYSNHfbm","","","","1","2.66","0","15.15","","Amazon","114-9766032-0079459","114-9766032-0079459-B076PRYSNHfbm","ssOIT: System.LimitException: Too many SOQL queries: 101"
"","http://ecx.images-amazon.com/images/I/31kJ3dh2hdL.jpg","SLR Brands Plus Size Cotton Stretchy Flowy Loose Fit Tunic Long Casual Beach Regular Dress with Pockets (XL, Solid Purple)","B076PRWY1Pfbm","","","","1","2.66","0","15.15","","Amazon","114-9766032-0079459","114-9766032-0079459-B076PRWY1Pfbm","ssOIT: System.LimitException: Too many SOQL queries: 101"
