"ID","ACTIVE","NAME","PRICE BOOK","PRODUCT","PRODUCT CODE","LIST PRICE","USE STANDARD PRICE","PRICEBOOK_SKU_AS_ID","SKU_AS_ID","STATUS"
"01u3k00000XuldAAAR","FALSE","Raindrop Base [White] Replacement","01s3k000002Tcq5AAC","01t3k000005qguYAAQ","BASE-6Z-I22J-SHQS","0","FALSE","01s3k000002Tcq5AAC_BASE-6Z-I22J-SHQS","BASE-6Z-I22J-SHQS","Item Created"
"01u3k00000XuldBAAR","FALSE","Raindrop Base [Light Wood] Replacement","01s3k000002Tcq5AAC","01t3k000005qguZAAQ","BASE-B00MWQCNSW","0","FALSE","01s3k000002Tcq5AAC_BASE-B00MWQCNSW","BASE-B00MWQCNSW","Item Created"
"01u3k00000XuldCAAR","FALSE","Raindrop Base [Black] Replacement","01s3k000002Tcq5AAC","01t3k000005qguaAAA","BASE-B00RBP97D8","0","FALSE","01s3k000002Tcq5AAC_BASE-B00RBP97D8","BASE-B00RBP97D8","Item Created"
"01u3k00000XuldDAAR","FALSE","Droplet Base [Light Wood] Replacement","01s3k000002Tcq5AAC","01t3k000005qgubAAA","BASE-B07PFG2Q3Z","0","FALSE","01s3k000002Tcq5AAC_BASE-B07PFG2Q3Z","BASE-B07PFG2Q3Z","Item Created"
"01u3k00000XuldEAAR","FALSE","Droplet Base [Red Wood] Replacement","01s3k000002Tcq5AAC","01t3k000005qgucAAA","BASE-B07PJ191H7","0","FALSE","01s3k000002Tcq5AAC_BASE-B07PJ191H7","BASE-B07PJ191H7","Item Created"
"01u3k00000XuldFAAR","FALSE","Free Essential Oil","01s3k000002Tcq5AAC","01t3k000005qgudAAA","EO-FREE","0","FALSE","01s3k000002Tcq5AAC_EO-FREE","EO-FREE","Item Created"
"01u3k00000XuldGAAR","FALSE","Droplet Cap Replacement","01s3k000002Tcq5AAC","01t3k000005qgueAAA","REP-DROP-CAP","0","FALSE","01s3k000002Tcq5AAC_REP-DROP-CAP","REP-DROP-CAP","Item Created"
"01u3k00000XuldHAAR","FALSE","Droplet Reservoir Replacement","01s3k000002Tcq5AAC","01t3k000005qgufAAA","REP-DROP-RES","0","FALSE","01s3k000002Tcq5AAC_REP-DROP-RES","REP-DROP-RES","Item Created"
"01u3k00000XuldIAAR","FALSE","Raindrop Cap Replacement","01s3k000002Tcq5AAC","01t3k000005qgugAAA","REP-RAIN-CAP","0","FALSE","01s3k000002Tcq5AAC_REP-RAIN-CAP","REP-RAIN-CAP","Item Created"
"01u3k00000XuldJAAR","FALSE","Raindrop Reservoir Replacement","01s3k000002Tcq5AAC","01t3k000005qguhAAA","REP-RAIN-RES","0","FALSE","01s3k000002Tcq5AAC_REP-RAIN-RES","REP-RAIN-RES","Item Created"
"01u3k00000XuldKAAR","FALSE","Raindrop Base [White] Replacement","01s3k000002UJ8oAAG","01t3k000005qguYAAQ","BASE-6Z-I22J-SHQS","0","FALSE","01s3k000002UJ8oAAG_BASE-6Z-I22J-SHQS","BASE-6Z-I22J-SHQS","Item Created"
"01u3k00000XuldLAAR","FALSE","Raindrop Base [Light Wood] Replacement","01s3k000002UJ8oAAG","01t3k000005qguZAAQ","BASE-B00MWQCNSW","0","FALSE","01s3k000002UJ8oAAG_BASE-B00MWQCNSW","BASE-B00MWQCNSW","Item Created"
"01u3k00000XuldMAAR","FALSE","Raindrop Base [Black] Replacement","01s3k000002UJ8oAAG","01t3k000005qguaAAA","BASE-B00RBP97D8","0","FALSE","01s3k000002UJ8oAAG_BASE-B00RBP97D8","BASE-B00RBP97D8","Item Created"
"01u3k00000XuldNAAR","FALSE","Droplet Base [Light Wood] Replacement","01s3k000002UJ8oAAG","01t3k000005qgubAAA","BASE-B07PFG2Q3Z","0","FALSE","01s3k000002UJ8oAAG_BASE-B07PFG2Q3Z","BASE-B07PFG2Q3Z","Item Created"
"01u3k00000XuldOAAR","FALSE","Droplet Base [Red Wood] Replacement","01s3k000002UJ8oAAG","01t3k000005qgucAAA","BASE-B07PJ191H7","0","FALSE","01s3k000002UJ8oAAG_BASE-B07PJ191H7","BASE-B07PJ191H7","Item Created"
"01u3k00000XuldPAAR","FALSE","Free Essential Oil","01s3k000002UJ8oAAG","01t3k000005qgudAAA","EO-FREE","0","FALSE","01s3k000002UJ8oAAG_EO-FREE","EO-FREE","Item Created"
"01u3k00000XuldQAAR","FALSE","Droplet Cap Replacement","01s3k000002UJ8oAAG","01t3k000005qgueAAA","REP-DROP-CAP","0","FALSE","01s3k000002UJ8oAAG_REP-DROP-CAP","REP-DROP-CAP","Item Created"
"01u3k00000XuldRAAR","FALSE","Droplet Reservoir Replacement","01s3k000002UJ8oAAG","01t3k000005qgufAAA","REP-DROP-RES","0","FALSE","01s3k000002UJ8oAAG_REP-DROP-RES","REP-DROP-RES","Item Created"
"01u3k00000XuldSAAR","FALSE","Raindrop Cap Replacement","01s3k000002UJ8oAAG","01t3k000005qgugAAA","REP-RAIN-CAP","0","FALSE","01s3k000002UJ8oAAG_REP-RAIN-CAP","REP-RAIN-CAP","Item Created"
"01u3k00000XuldTAAR","FALSE","Raindrop Reservoir Replacement","01s3k000002UJ8oAAG","01t3k000005qguhAAA","REP-RAIN-RES","0","FALSE","01s3k000002UJ8oAAG_REP-RAIN-RES","REP-RAIN-RES","Item Created"
