"ErrorDescription";"Pricebook2Id";"Product2Id";"UnitPrice";"sku_as_id__c"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"11.19";"0674060717"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"112.01";"1118230612"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"17.34";"1405191473"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"9.99";"1I-B2VS-LIHQ"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"10.99";"2U-RZQ3-VB48"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"17.99";"2W-685L-2ISN"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"4I-8E25-ES25"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"6.99";"4P-CJWM-B7K2"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"4S-98D9-DHF0"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"50-O2II-OM36"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"7.99";"57-4R3X-A2VX"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"62-F926-QNEI"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"29.99";"64-1FRN-5FAZ"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"6D-LO15-SWG2"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"69.99";"6Z-I22J-SHQS"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"40";"717635182"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"70";"731185291"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"30";"731498733"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"10.99";"7I-4Q6M-ICCS"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"9.99";"7Z-GFD1-0JRG"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"852888008056"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"9.99";"89-3OU5-C6HB"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"11.99";"8A-L5P6-VKMU"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"8G-IPV9-JW0W"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"8I-W2IE-AVV5"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"92-BLYZ-Q9MA"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"A0-G9AN-6PSD"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"19.99";"A1-D1OQ-4W14"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"9.99";"A6-I05X-ZPAD"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"11.99";"A9-IP6C-PKPQ"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"5.99";"AP-1CS3-TJW5"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"85";"B00MWQCNSW"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"90";"B00RBP97D8"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5JDGDHfbc"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5JFT4Bfbc"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5QVQ28"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5RF1MCfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5S8M9Kfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5SHQQ3fba"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.99";"B06Y5SQ1PFfba"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"10.14";"B06Y5SQ1PGfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.99";"B06Y5THB4Ffbc"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.99";"B06Y5THB4Ffbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.99";"B06Y5TTZ6Pfbc"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5V3TNXfbac"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5V7LTHfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5VJ3VHfbac"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5WT6QSfbc"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"8.5";"B06Y5ZXRWCfba"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"7.5";"B0711SPBZ4"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"75.27";"B071HR46ZJ"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"47.99";"B0756B6MJM"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.99";"B076PJ1KHS"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PNV184fba"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.99";"B076PPC76Sfmb"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PQDF7Pfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PQKDDJfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.15";"B076PQKTX1fbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PQV4FSfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PQW9L9fmn"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.99";"B076PRB5ZR"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PRJMR4fbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PRWY1Pfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PRYSNHfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"19.99";"B076PRZLD5fbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PS1XMZfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PS7LV6fbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PSM86Yfmb"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PSP63Cfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PSS8RBfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PSXH37fbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PTQFF3fmb"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PV8GQ1"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076PWHCHPfbm"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076TFPFTR"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076THWZG1fba"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"15.15";"B076V2P2GVfba"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"106.19";"B07G54S6VC"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"55.95";"B07HJFN19K"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"29.95";"B07HJFNSCD"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"B07JGD46QF"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.95";"B07JHLJJZT"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"9.95";"B07JLT1425"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"29.95";"B07JLT9PNJ"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"18.95";"B07JM4SKDL"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"9.95";"B07JM4VF3D"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"16.95";"B07JM5397V"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"11.95";"B07JMHV3VB"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"18.95";"B07JMHVHGF"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"55.95";"B07JMHWPFP"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"29.95";"B07JMKC49P"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"16.95";"B07JMLT8CH"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"20.95";"B07JMM7V97"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"39.95";"B07KX7DYFW"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"13.95";"B07KX7YGLR"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.95";"B07KX8S7S2"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"67.95";"B07L3RLXT9"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"35.95";"B07L3Z5BHH"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"17.95";"B07L3ZDTJ9"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"11.95";"B07L3ZY95V"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"35.95";"B07L41C3FN"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"42.95";"B07L41XTJJ"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"59.95";"B07L41Z65S"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"10.95";"B07L42TMFJ"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"13.95";"B07L435Q38"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"11.95";"B07L43TTX3"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"11.99";"B07L5ZBNHB"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"59.95";"B07L8MTXFG"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"B07MJCTJYZ"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"55.99";"B07NH7VDB2"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"49.95";"B07NHG7JG4"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"54.99";"B07P7Q6W11"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"49.95";"B07PFG2Q3Z"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"20.95";"B07PFY8CJY"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"49.95";"B07PJ191H7"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"9.99";"B6-5Y6C-E7N7"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"19.99";"BI-4S5R-WNPT"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"C0-66V3-ZNZS"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"7.99";"CS-4J08-RWKA"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"9.99";"D1-BDF6-O2CX"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"10.99";"D7-AR57-OPHF"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"DM-FYW5-6U86"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"19.99";"DN-MNMI-NJQN"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"28.99";"DU-7UQU-NPC0"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"F6-KFH0-KFGN"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"7.99";"fb"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"7.99";"FBM- SLR2601-BLK-M"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"FBM- SLR7422-BLK/RED-12"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"7.99";"FBM-SLR2601-BLK-L"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"7.99";"FBM-SLR2601-BLK-XL"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"7.99";"FBM-SLR-MFW140-WHT-12"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"7.99";"FL-PN0I-V517"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"11.99";"FN-39VW-ZJNR"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"17.99";"GT-2WLJ-HBN8"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"9.99";"GY-Q0ES-TELC"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"HT-H18E-1T6F"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"HV-QX5X-PMLM"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"59.95";"IR-7HGI-RCV8"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"IX-OAUR-3S6X"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"J3-QRG9-J032"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"14.99";"J4-D0C0-FZHK"
"Required fields are missing: [Product2Id]";"01s4T000001qIGbQAM";"";"12.99";"JY-UKK8-FROJ"
